Facility ID,Facility Name,Address,City/Town,State_x,ZIP Code_x,County/Parish_x,Telephone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Start Date,End Date,Score_raw,op18b_missing,la_county_facility_match,County/Parish_y,Hospital Type,Hospital Ownership,ZIP Code_y,State_y,ZIP,median_income
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",318.0,337,,07/01/2024,06/30/2025,318,False,True,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Other,91342,CA,91342,98118.0
050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,(661) 949-5500,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",266.0,346,,07/01/2024,06/30/2025,266,False,True,LOS ANGELES,Acute Care Hospitals,Government - Hospital District or Authority,93534,CA,93534,61866.0
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,(818) 502-1900,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",202.0,369,,07/01/2024,06/30/2025,202,False,True,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,91204,CA,91204,74144.0
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",253.0,313,,07/01/2024,06/30/2025,253,False,True,LOS ANGELES,Acute Care Hospitals,Proprietary,90027,CA,90027,94521.0
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",166.0,369,,07/01/2024,06/30/2025,166,False,True,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,90732,CA,90732,120807.0
050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,LOS ANGELES,(323) 583-1931,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",212.0,306,,07/01/2024,06/30/2025,212,False,True,LOS ANGELES,Acute Care Hospitals,Proprietary,90255,CA,90255,64766.0
050103,ADVENTIST HEALTH WHITE MEMORIAL,1720 CESAR E CHAVEZ AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,(323) 268-5000,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",202.0,395,,07/01/2024,06/30/2025,202,False,True,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Church,90033,CA,90033,59652.0
050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,(310) 900-8900,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",250.0,417,,07/01/2024,06/30/2025,250,False,True,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Church,90262,CA,90262,75194.0
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,(310) 319-4000,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",222.0,376,,07/01/2024,06/30/2025,222,False,True,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,90404,CA,90404,95139.0
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,(818) 885-8500,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",214.0,375,,07/01/2024,06/30/2025,214,False,True,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,91325,CA,91325,87168.0
